"Time Stamp","Time Zone","Name","PTID","Load"
"02/12/2016 00:00:00","EST","CAPITL",61757,1439.7
"02/12/2016 00:00:00","EST","CENTRL",61754,2000.1
"02/12/2016 00:00:00","EST","DUNWOD",61760,670.8
"02/12/2016 00:00:00","EST","GENESE",61753,1137.5
"02/12/2016 00:00:00","EST","HUD VL",61758,1177.9
"02/12/2016 00:00:00","EST","LONGIL",61762,2359.4
"02/12/2016 00:00:00","EST","MHK VL",61756,1009.7
"02/12/2016 00:00:00","EST","MILLWD",61759,358.5
"02/12/2016 00:00:00","EST","N.Y.C.",61761,5767.1
"02/12/2016 00:00:00","EST","NORTH",61755,602.9
"02/12/2016 00:00:00","EST","WEST",61752,1867
"02/12/2016 00:05:00","EST","CAPITL",61757,1441.8
"02/12/2016 00:05:00","EST","CENTRL",61754,1967.9
"02/12/2016 00:05:00","EST","DUNWOD",61760,661.9
"02/12/2016 00:05:00","EST","GENESE",61753,1124.8
"02/12/2016 00:05:00","EST","HUD VL",61758,1153.3
"02/12/2016 00:05:00","EST","LONGIL",61762,2348.1
"02/12/2016 00:05:00","EST","MHK VL",61756,1003.6
"02/12/2016 00:05:00","EST","MILLWD",61759,370.9
"02/12/2016 00:05:00","EST","N.Y.C.",61761,5730.4
"02/12/2016 00:05:00","EST","NORTH",61755,599.6
"02/12/2016 00:05:00","EST","WEST",61752,1876.8
"02/12/2016 00:10:00","EST","CAPITL",61757,1429.9
"02/12/2016 00:10:00","EST","CENTRL",61754,1977.6
"02/12/2016 00:10:00","EST","DUNWOD",61760,676.7
"02/12/2016 00:10:00","EST","GENESE",61753,1130.6
"02/12/2016 00:10:00","EST","HUD VL",61758,1158.6
"02/12/2016 00:10:00","EST","LONGIL",61762,2335.4
"02/12/2016 00:10:00","EST","MHK VL",61756,1004.1
"02/12/2016 00:10:00","EST","MILLWD",61759,330.4
"02/12/2016 00:10:00","EST","N.Y.C.",61761,5662.5
"02/12/2016 00:10:00","EST","NORTH",61755,598.6
"02/12/2016 00:10:00","EST","WEST",61752,1872.4
"02/12/2016 00:15:00","EST","CAPITL",61757,1424.1
"02/12/2016 00:15:00","EST","CENTRL",61754,2012.4
"02/12/2016 00:15:00","EST","DUNWOD",61760,662.8
"02/12/2016 00:15:00","EST","GENESE",61753,1119.6
"02/12/2016 00:15:00","EST","HUD VL",61758,1150.7
"02/12/2016 00:15:00","EST","LONGIL",61762,2314.9
"02/12/2016 00:15:00","EST","MHK VL",61756,1010.4
"02/12/2016 00:15:00","EST","MILLWD",61759,354.8
"02/12/2016 00:15:00","EST","N.Y.C.",61761,5669.6
"02/12/2016 00:15:00","EST","NORTH",61755,592.4
"02/12/2016 00:15:00","EST","WEST",61752,1804.1
"02/12/2016 00:20:00","EST","CAPITL",61757,1419.5
"02/12/2016 00:20:00","EST","CENTRL",61754,2025.3
"02/12/2016 00:20:00","EST","DUNWOD",61760,658.2
"02/12/2016 00:20:00","EST","GENESE",61753,1118.1
"02/12/2016 00:20:00","EST","HUD VL",61758,1141.6
"02/12/2016 00:20:00","EST","LONGIL",61762,2303.5
"02/12/2016 00:20:00","EST","MHK VL",61756,1011.9
"02/12/2016 00:20:00","EST","MILLWD",61759,363.9
"02/12/2016 00:20:00","EST","N.Y.C.",61761,5623.4
"02/12/2016 00:20:00","EST","NORTH",61755,598.5
"02/12/2016 00:20:00","EST","WEST",61752,1837.6
"02/12/2016 00:25:00","EST","CAPITL",61757,1424.9
"02/12/2016 00:25:00","EST","CENTRL",61754,2022.5
"02/12/2016 00:25:00","EST","DUNWOD",61760,643.7
"02/12/2016 00:25:00","EST","GENESE",61753,1110.4
"02/12/2016 00:25:00","EST","HUD VL",61758,1138.8
"02/12/2016 00:25:00","EST","LONGIL",61762,2301.7
"02/12/2016 00:25:00","EST","MHK VL",61756,1004
"02/12/2016 00:25:00","EST","MILLWD",61759,363.7
"02/12/2016 00:25:00","EST","N.Y.C.",61761,5595.5
"02/12/2016 00:25:00","EST","NORTH",61755,598.7
"02/12/2016 00:25:00","EST","WEST",61752,1842.4
"02/12/2016 00:30:00","EST","CAPITL",61757,1428.3
"02/12/2016 00:30:00","EST","CENTRL",61754,2004.7
"02/12/2016 00:30:00","EST","DUNWOD",61760,637.8
"02/12/2016 00:30:00","EST","GENESE",61753,1114.2
"02/12/2016 00:30:00","EST","HUD VL",61758,1124.9
"02/12/2016 00:30:00","EST","LONGIL",61762,2310.7
"02/12/2016 00:30:00","EST","MHK VL",61756,993.4
"02/12/2016 00:30:00","EST","MILLWD",61759,360.6
"02/12/2016 00:30:00","EST","N.Y.C.",61761,5543.6
"02/12/2016 00:30:00","EST","NORTH",61755,583.4
"02/12/2016 00:30:00","EST","WEST",61752,1823.8
"02/12/2016 00:35:00","EST","CAPITL",61757,1418.1
"02/12/2016 00:35:00","EST","CENTRL",61754,2018.1
"02/12/2016 00:35:00","EST","DUNWOD",61760,634.4
"02/12/2016 00:35:00","EST","GENESE",61753,1112.3
"02/12/2016 00:35:00","EST","HUD VL",61758,1140.5
"02/12/2016 00:35:00","EST","LONGIL",61762,2279.1
"02/12/2016 00:35:00","EST","MHK VL",61756,988.3
"02/12/2016 00:35:00","EST","MILLWD",61759,355.5
"02/12/2016 00:35:00","EST","N.Y.C.",61761,5545.2
"02/12/2016 00:35:00","EST","NORTH",61755,599.4
"02/12/2016 00:35:00","EST","WEST",61752,1829.2
"02/12/2016 00:40:00","EST","CAPITL",61757,1416.3
"02/12/2016 00:40:00","EST","CENTRL",61754,2024.7
"02/12/2016 00:40:00","EST","DUNWOD",61760,632.3
"02/12/2016 00:40:00","EST","GENESE",61753,1106.8
"02/12/2016 00:40:00","EST","HUD VL",61758,1124.3
"02/12/2016 00:40:00","EST","LONGIL",61762,2285
"02/12/2016 00:40:00","EST","MHK VL",61756,998.3
"02/12/2016 00:40:00","EST","MILLWD",61759,359.6
"02/12/2016 00:40:00","EST","N.Y.C.",61761,5524
"02/12/2016 00:40:00","EST","NORTH",61755,593.3
"02/12/2016 00:40:00","EST","WEST",61752,1805.3
"02/12/2016 00:45:00","EST","CAPITL",61757,1410.3
"02/12/2016 00:45:00","EST","CENTRL",61754,2032.9
"02/12/2016 00:45:00","EST","DUNWOD",61760,632.9
"02/12/2016 00:45:00","EST","GENESE",61753,1105.7
"02/12/2016 00:45:00","EST","HUD VL",61758,1121.1
"02/12/2016 00:45:00","EST","LONGIL",61762,2268
"02/12/2016 00:45:00","EST","MHK VL",61756,991.3
"02/12/2016 00:45:00","EST","MILLWD",61759,365.8
"02/12/2016 00:45:00","EST","N.Y.C.",61761,5471.1
"02/12/2016 00:45:00","EST","NORTH",61755,596.6
"02/12/2016 00:45:00","EST","WEST",61752,1822.3
"02/12/2016 00:50:00","EST","CAPITL",61757,1412.2
"02/12/2016 00:50:00","EST","CENTRL",61754,2008.1
"02/12/2016 00:50:00","EST","DUNWOD",61760,629.1
"02/12/2016 00:50:00","EST","GENESE",61753,1109.1
"02/12/2016 00:50:00","EST","HUD VL",61758,1125.9
"02/12/2016 00:50:00","EST","LONGIL",61762,2272.6
"02/12/2016 00:50:00","EST","MHK VL",61756,997.6
"02/12/2016 00:50:00","EST","MILLWD",61759,346.7
"02/12/2016 00:50:00","EST","N.Y.C.",61761,5488.9
"02/12/2016 00:50:00","EST","NORTH",61755,592.1
"02/12/2016 00:50:00","EST","WEST",61752,1813.5
"02/12/2016 00:55:00","EST","CAPITL",61757,1428.3
"02/12/2016 00:55:00","EST","CENTRL",61754,1964.3
"02/12/2016 00:55:00","EST","DUNWOD",61760,622
"02/12/2016 00:55:00","EST","GENESE",61753,1101.5
"02/12/2016 00:55:00","EST","HUD VL",61758,1106.3
"02/12/2016 00:55:00","EST","LONGIL",61762,2272.5
"02/12/2016 00:55:00","EST","MHK VL",61756,995.3
"02/12/2016 00:55:00","EST","MILLWD",61759,357.8
"02/12/2016 00:55:00","EST","N.Y.C.",61761,5462.5
"02/12/2016 00:55:00","EST","NORTH",61755,593.8
"02/12/2016 00:55:00","EST","WEST",61752,1814.2
